Priority,Classification,Item,Path,Kind,ProductionRefs,TestRefs,PrefabGuidRefs,StageContentCount,RuntimeReachable,OnlyDocs,OnlyTests,WhyDeadOrLowValue,DeleteOrRefactorAction,Risk,RequiredTests
P0,DELETE_NOW_UNUSED,"MovePush / AutoPush / PushThreshold / pushContactTicks residue","Docs/Architecture/Immediate-Push-Input-Semantics.md; Docs/Testing ledger","docs residue","0","0","0","n/a","No","Yes","No","Historical wording only; no runtime artifact","Trim or mark historical only","Low","Docs-only"
P0,DELETE_NOW_UNUSED,"PushBox / FlipBox old component residue","Docs/Testing ledgers and scenario names","docs/test vocabulary","0 as component","Scenario names only","0","n/a","No component","Mostly","No","No old component class exists; scenario names mean box capability","Docs cleanup only; do not rename active scenario names blindly","Low","Docs-only or core if renaming tests"
P0,DELETE_NOW_UNUSED,"HelpScreen Push/Flip prompt residue","Assets Docs","prompt artifact","0","Governance absence tests","0","n/a","No","No","No","No active prompt artifact found","No action or keep absence tests","Low","./run_tests.sh ui if tests/docs changed"
P0,DELETE_NOW_UNUSED,"ActionBar Push/Flip vocabulary","Assets Docs","retired UI vocabulary","0 runtime","UI governance docs/tests","0","n/a","No","Docs only","No","Runtime ActionBar is gone; current mentions state retired status","Trim stale wording but preserve retired-status docs","Low","./run_tests.sh ui if UI docs/tests changed"
P3,KEEP_CURRENTLY_USED,"Stage authoring PresentationId","Assets/_Features/Stages/Content/*_Authoring.asset; Assets/_Features/Stages/Editor","authoring/presentation field","Active editor presentation selection","Stage authoring tests","authoring assets","n/a","Editor/content reachable","No","No","Generated gameplay spawn-side PresentationId rows are absent; authoring field is active","Do not delete without stage editor migration plan","High","StageRuntimeBuilderTests; StageContentAndClearFlowTests; StageSceneBootstrapValidatorTests"
P0,DELETE_NOW_UNUSED,"Generated gameplay StageSpawnDefinition.PresentationId rows","Assets/_Features/Stages/Content/*_Gameplay.asset","generated gameplay spawn residue","0","0","0","0","No","No","No","No generated gameplay PresentationId rows found","No action","Low","None"
P2,KEEP_BY_PRODUCT_DECISION,"Flip-only capability combo","combined-gameplay-showcase_Authoring.asset","stage content combo","Showcase only","Gameplay tests use synthetic Flip","n/a","2","Runtime reachable if loaded","No","No","Only 2 box placements, both showcase-only","Keep showcase mechanic and runtime generalization","Medium","core + stage validator tests"
P2,KEEP_BY_PRODUCT_DECISION,"Push+Flip capability combo","combined-gameplay-showcase_Authoring.asset","stage content combo","Showcase only","Gameplay tests use synthetic combos","n/a","2","Runtime reachable if loaded","No","No","Only 2 box placements, both showcase-only","Keep showcase mechanic and runtime generalization","Medium","core + stage validator tests"
P2,KEEP_BY_PRODUCT_DECISION,"Item-only and Item mixed combos","combined-gameplay-showcase_Authoring.asset","stage content combo","Showcase only","Item priority tests","n/a","4 total Item-included","Runtime reachable if loaded","No","No","Item priority rules have only showcase content coverage","Keep showcase content and Item priority","Medium","MovementPhaseScenarioTests; ./run_tests.sh core"
P2,KEEP_BY_PRODUCT_DECISION,"Flip+Destroy exact combo","No stage content","capability combo","0","Possible synthetic tests/docs","0","0","No content reachability","No","No","Exact combo count is zero","Keep runtime generalization in this PR","Medium","core targeted if tests changed"
P2,KEEP_CURRENTLY_USED,"Push+Destroy fallback","tutorial-scene_Authoring.asset; combined-gameplay-showcase_Authoring.asset","capability combo/rule","Tutorial + showcase","Push destroy playmode/core tests","n/a","30","Runtime reachable","No","No","Content count is not zero; static audit did not prove first-step blocked layouts for all rows","Keep until layout reachability simulation/content owner review","Medium","PlayerMovementPlayModeTests; ./run_tests.sh core"
P2,KEEP_CURRENTLY_USED,"Push+Flip+Destroy+JumpCrushable","campaign authoring assets","capability combo","Broad campaign content","Core/gameplay tests","n/a","708","Runtime reachable","No","No","Heavily used campaign combo; not deletion candidate despite branch complexity","Do not delete without major content migration","High","core + stage validator/editor evidence"
P2,KEEP_CURRENTLY_USED,"BoxInteractionLockState BlocksPush/BlocksFlip","EnemyAi_LockNearbyBoxes naming residue; stage authoring refs","runtime/content mechanic","Campaign stages reference the profile name, but its active utility capability is GravityFieldAura kind 2","Core/replay/scenario tests","profile assets","stage enemy refs exist","Runtime reachable through GravityFieldAura","No","No","Production gravity field profile blocks both Push and Flip; independent LockNearbyBoxes kind 1 is retired","Keep GravityField/BoxInteractionLockState semantics","Medium","EnemyAiScenarioTests; TickReplayDeterminismTests; ./run_tests.sh core"
P2,REMOVED_BY_PRODUCT_DECISION,"BoxSlideShield","retired EnemyCapability_FrontFaceShield_BoxSlideShield.asset","retired enemy support mechanic","Removed runtime/presentation/VFX residue in PR D","Contraction and preserved-lock tests","0 current asset refs","0","No current Stage profile reachability","No","Yes","Profile asset was already removed with unused FrontFaceShield; PR D removed runtime state, movement blocker, replay/hash/trace, presentation, VFX, prefab/material residue","Keep BoxInteractionLockState / BlocksPush / BlocksFlip / GravityField lock semantics","Medium","MovementPhaseScenarioTests; EnemyAiScenarioTests; TickReplayDeterminismTests"
P2,REMOVED_BY_PRODUCT_DECISION,"Player hand flip presentation driver","Assets/_Features/Gameplay/Gameplay_Host/Runtime","presentation component","No production prefab/scene/asset GUID ref","Tests added component manually","0","n/a","Optional only","No","Mostly","Current player IK path is unavailable and no prefab supplies this component","Remove component, optional lookup path, docs, and hand-interaction tests","Medium","GameplayFlipInteractionObservableTests; playmode visual/manual if prefab changes"
P2,KEEP_CURRENTLY_USED,"BoxFlipInteractionDriver","Assets/_Features/Gameplay/Gameplay_Host/Runtime/BoxFlipInteractionDriver.cs","presentation component","4 static box prefab refs","Unit/playmode tests","4 prefab GUID refs","n/a","Runtime reachable","No","No","Production box prefabs attach it","Keep","Medium","FlipImpactTrackTests; PlayerMovementPlayModeTests"
P0,DELETE_NOW_UNUSED,"GameplayBoxCapabilityLabelViewFactory","Docs/Testing stale rows","debug/showcase label factory","0 runtime class found","Historical test names/docs","0","n/a","No","Yes","No","Runtime class not found; remaining mentions are stale ledger/history","Docs cleanup only","Low","Docs-only"
P2,KEEP_PRESENTATION_CONTRACT,"FlipImpactPresentationSignal","TickPresentationData.cs","presentation carrier","Host/VFX/block audio consumers","Core/playmode tests","n/a","n/a","Yes","No","No","Consumed by multiple production systems","Do not delete","High","BarricadeBoxInteractionCoreTests; PlayerFlipActiveGlideLandingCoreTests"
P2,KEEP_PRESENTATION_CONTRACT,"PlayerActionAttemptSignals","TickPresentationData.cs","presentation/audio/input carrier","Action audio, track planner, input host, mapper consumers","Many tests","n/a","n/a","Yes","No","No","Fake/blocked attempt carrier is consumed","Do not delete","High","PlayerFlipLandingRejectCoreTests; GameplayActionAudioRuntimeTests"
P0,REMOVED_CURRENT_MOMENT_VOCABULARY,"Push/Flip Execute and Recovery action-audio moments","GameplayActionAudioTypes.cs; GameplayActionAudioRequestPlanner.cs; Player_S1_GameplayActionAudioProfile.asset","audio moment vocabulary","0 current enum/planner/profile entries after action-audio policy decision","Planner absence tests","profile attached","n/a","No action-audio reachability; gameplay timeline remains reachable","No","No","Execute and Recovery are gameplay timeline facts but not current GameplayActionAudioMoment members","Keep removed from action-audio docs; preserve gameplay execute/recovery timeline","Medium","GameplayActionAudioRuntimeTests; AudioRepositoryAssetSmokeCoreTests"
P0,REMOVED_CURRENT_MOMENT_VOCABULARY,"Push/Flip Contact/ImpactEnemy/Blocked action-audio moments","GameplayActionAudioTypes.cs; GameplayActionAudioRequestPlanner.cs; Player_S1_GameplayActionAudioProfile.asset","audio moment vocabulary","0 current enum/planner/profile entries","Governance absence tests","0","n/a","No","No","No","Contact ImpactEnemy and Blocked are not current GameplayActionAudioMoment members and are not emitted by the action-audio planner","Keep removed from action-audio docs; use existing presentation/audio lanes for impact and blocked cues","Low","None unless touching audio tests"
P4,KEEP_CURRENTLY_USED,"Settings Push/Flip rebind rows","SettingsScreen.prefab; KeyboardBindingSettingsService.cs","UI/settings","Runtime settings screen and save/restore","UI tests","prefab rows","n/a","Yes","No","No","Rebind applies InputAction overrides and persists JSON","Keep; path constants now centralized and setup validates required actions","Medium","./run_tests.sh ui"
P4,REFACTORED_CURRENT_CONTRACT,"KeyboardBindingSettingsService hardcoded Player/Push Player/Flip paths","Assets/_Shared/Input/Runtime/KeyboardBindingSettingsService.cs","input settings path constants","Runtime settings service","UI/input tests","0","n/a","Yes","No","No","Action rename risk is bounded by shared GameplayInputActionPaths and fail-fast setup validation","Shared path owner added; missing required actions and Push/Flip keyboard bindings fail fast","Medium","./run_tests.sh ui; ./run_tests.sh core"
P3,KEEP_CURRENTLY_USED,"ActionPlanId / SourceActionPlanId / IntentId","Gameplay movement/attack/host/VFX/debug files","correlation/determinism IDs","Trace, VFX, presentation, attack/movement resolution","Replay/core tests","n/a","n/a","Yes","No","No","Active canonical correlation vocabulary","Do not delete","High","TickReplayDeterminismTests; ActionPlanCorrelationContractTests"
