collection,key,source_en_US,ja_JP,zh_CN,review_state
"UI","ui.settings.audio.volume_value_muted","{0}% (Muted)","{0}%（ミュート）","{0}%（已静音）","Approved"
"UI","ui.settings.display.resolution_value","{0}","{0}","{0}","Approved"
"UI","ui.settings.display.preview_countdown","Reverting in {0}s","{0}秒後に元に戻ります","将在 {0} 秒后还原","Approved"
"UI","ui.settings.input.rebind_canceled","Key reassignment canceled.","キーの再割り当てをキャンセルしました。","已取消重新绑定按键。","Approved"
"UI","ui.settings.input.reset_complete","Input settings reset.","キー設定をリセットしました。","键位已重置。","Approved"
"UI","ui.settings.input.reserved_key","This key cannot be used.","このキーは使用できません。","此按键无法使用。","Approved"
"UI","ui.settings.input.movement_conflict","Movement keys cannot overlap.","同じキーを複数の移動操作に割り当てることはできません。","同一按键不能分配给多个移动方向。","Approved"
"UI","ui.settings.input.already_rebinding","Another key is already being reassigned.","別のキーを再割り当て中です。","正在重新绑定其他按键。","Approved"
"UI","ui.settings.audio.main","Master","マスター","主音量","Approved"
"UI","ui.settings.audio.bgm","Background Music","BGM","背景音乐","Approved"
"UI","ui.settings.audio.sfx","Effects","効果音","音效","Approved"
"UI","ui.settings.audio.mute","Mute","ミュート","静音","Approved"
"UI","ui.settings.display.current","Current Display","現在の画面設定","当前显示设置","Approved"
"UI","ui.settings.display.resolution","Resolution","解像度","分辨率","Approved"
"UI","ui.settings.display.resolution_hint","Only automatically detected resolutions are shown.","自動検出された解像度のみ表示されます。","仅显示自动检测到的分辨率。","Approved"
"UI","ui.settings.display.fullscreen_window","Borderless Fullscreen","ボーダーレスフルスクリーン","无边框全屏","Approved"
"UI","ui.settings.display.fullscreen_on","On","オン","开启","Approved"
"UI","ui.settings.display.apply","Apply","適用","应用","Approved"
"UI","ui.settings.display.revert","Revert","元に戻す","还原","Approved"
"UI","ui.settings.display.status.preview_active","Preview active. Current display is temporary and not saved. Confirm to keep it, or it will revert in {0} seconds.","現在の画面設定は一時的なもので、まだ保存されていません。変更を保持するには確定してください。確定しない場合、{0}秒後に元の設定へ戻ります。","正在预览显示设置。当前更改尚未保存；确认后将保留更改，否则将在 {0} 秒后还原。","Approved"
"UI","ui.settings.display.status.preview_reverted","Preview reverted to the previous saved display settings.","保存済みの画面設定に戻しました。","已还原为之前保存的显示设置。","Approved"
"UI","ui.settings.display.status.saved","Display settings saved.","画面設定を保存しました。","显示设置已保存。","Approved"
"UI","ui.settings.display.status.external_drift","Current display changed outside saved settings. Saved settings remain unchanged until you apply again.","画面設定が保存済みの設定と異なります。再度適用するまで、保存内容は変更されません。","当前显示设置与已保存的设置不一致。重新应用前，已保存的设置不会改变。","Approved"
"UI","ui.settings.input.rebind_push_prompt","Press a key for Push...","「プッシュ」に割り当てるキーを押してください…","请按下用于“推动”的按键……","Approved"
"UI","ui.settings.input.rebind_flip_prompt","Press a key for Flip...","「フリップ」に割り当てるキーを押してください…","请按下用于“翻转”的按键……","Approved"
"UI","ui.settings.input.reset_confirm.title","Reset Input Settings","キー設定をリセット","重置键位","Approved"
"UI","ui.settings.input.reset_confirm.body","Reset input settings to defaults?","キー設定を初期状態に戻しますか？","要将键位恢复为默认设置吗？","Approved"
"UI","ui.settings.input.reset_confirm.confirm","Reset","リセット","重置","Approved"
"UI","ui.common.cancel","Cancel","キャンセル","取消","Approved"
"UI","ui.settings.display.preview_confirm.title","Confirm Display Preview","画面設定の確認","确认显示设置","Approved"
"UI","ui.settings.display.preview_confirm.fullscreen_body","Preview {0} x {1} in Borderless Fullscreen. These changes are temporary and will revert in {2} seconds unless you confirm.","{0}×{1}のボーダーレスフルスクリーンをプレビューします。この変更は一時的です。確定しない場合、{2}秒後に元へ戻ります。","正在以 {0} × {1} 无边框全屏预览。此更改为临时设置，如不确认，将在 {2} 秒后还原。","Approved"
"UI","ui.settings.display.preview_confirm.windowed_body","Preview {0} x {1} in Windowed mode. These changes are temporary and will revert in {2} seconds unless you confirm.","{0}×{1}のウィンドウモードをプレビューします。この変更は一時的です。確定しない場合、{2}秒後に元へ戻ります。","正在以 {0} × {1} 窗口模式预览。此更改为临时设置，如不确认，将在 {2} 秒后还原。","Approved"
"UI","ui.settings.display.preview_confirm.keep","Keep","変更を保持","保留设置","Approved"
"UI","ui.hud.objectives.title","Objectives","目標","任务目标","Approved"
"UI","ui.hud.objective.reach_exit","Reach the Exit Zone ({0}/{1})","脱出エリアに到達する（{0}/{1}）","到达出口区域（{0}/{1}）","Approved"
"UI","ui.hud.objective.activate_button","Place a pushable box on the button ({0}/{1})","押せる箱をボタンの上に置く（{0}/{1}）","将可推动的箱子放到按钮上（{0}/{1}）","Approved"
"UI","ui.hud.objective.activate_moon_button","Place the moon-marked box on the button ({0}/{1})","月の印が付いた箱をボタンの上に置く（{0}/{1}）","将月亮标记的箱子放到按钮上（{0}/{1}）","Approved"
"UI","ui.hud.objective.reach_zone","Reach the designated zone ({0}/{1})","指定エリアに到達する（{0}/{1}）","到达指定区域（{0}/{1}）","Approved"
"UI","ui.result.action.continue","Continue","次へ","继续","Approved"
"UI","ui.result.level_failed.title","Stage Failed","ステージ失敗","关卡失败","Approved"
"UI","ui.result.action.restart_stage","Restart Stage","ステージをやり直す","重开关卡","Approved"
"UI","ui.result.action.main_menu","Main Menu","メインメニュー","主菜单","Approved"
"UI","ui.result.game_clear.title","Game Clear","ゲームクリア","游戏通关","Approved"
"UI","ui.world_guide.move","Move","移動","移动","Approved"
"UI","ui.world_guide.push","Push","プッシュ","推动","Approved"
"UI","ui.world_guide.flip","Flip","フリップ","翻转","Approved"
"UI","ui.main_menu.slot.label","Slot {0}","スロット{0}","存档位 {0}","Approved"
"UI","ui.main_menu.slot.empty","Empty","空き","空","Approved"
"UI","ui.main_menu.slot.new_game","New Game","ニューゲーム","新游戏","Approved"
"UI","ui.main_menu.slot.completed","Completed","クリア済み","已完成","Approved"
"UI","ui.main_menu.slot.stage","Stage {0}","ステージ{0}","关卡 {0}","Approved"
"UI","ui.main_menu.slot.chances","Chances {0}","残機：{0}","剩余次数 {0}","Approved"
"UI","ui.main_menu.slot.deaths","Deaths {0}","死亡回数：{0}","死亡次数 {0}","Approved"
"UI","ui.main_menu.slot.played","Last Played: {0}","最終プレイ：{0}","上次游玩：{0}","Approved"
"UI","ui.main_menu.slot.action.restart","Restart","最初から","重新开始","Approved"
"UI","ui.main_menu.slot.action.continue","Continue","続きから","继续游戏","Approved"
"UI","ui.main_menu.slot.action.delete","Delete","削除","删除","Approved"
"UI","ui.main_menu.slot.confirm.delete.title","Delete Slot","スロットを削除","删除存档位","Approved"
"UI","ui.main_menu.slot.confirm.delete.body","Delete slot {0}?","スロット {0} を削除しますか？","要删除存档位 {0} 吗？","Approved"
"UI","ui.main_menu.slot.confirm.delete.warning","This action cannot be undone.","削除したセーブデータは元に戻せません。","此操作无法撤销。","Approved"
"UI","ui.main_menu.slot.confirm.delete.confirm","Delete","削除","删除","Approved"
"UI","ui.main_menu.slot.confirm.restart.title","Restart Slot","スロットを最初から開始","重开存档","Approved"
"UI","ui.main_menu.slot.confirm.restart.body","Restart slot {0} from the beginning?","スロット{0}を最初からやり直しますか？","要从头重开存档位 {0} 吗？","Approved"
"UI","ui.main_menu.slot.confirm.restart.warning","Existing progress will be replaced.","現在の進行状況はリセットされます。","现有进度将被重置。","Approved"
"UI","ui.main_menu.slot.confirm.restart.confirm","Restart","最初から","重新开始","Approved"
"UI","ui.main_menu.slot.confirm.overwrite.title","Overwrite Slot","スロットを上書き","覆盖存档位","Approved"
"UI","ui.main_menu.slot.confirm.overwrite.body","Start a new game in slot {0}?","スロット {0} でニューゲームを開始しますか？","要在存档位 {0} 开始新游戏吗？","Approved"
"UI","ui.main_menu.slot.confirm.overwrite.warning","Existing progress will be overwritten.","現在の進行状況は上書きされます。","现有进度将被覆盖。","Approved"
"UI","ui.main_menu.slot.confirm.overwrite.confirm","New Game","ニューゲーム","新游戏","Approved"
"UI","ui.main_menu.quit_confirm.title","Quit Game","ゲームを終了","退出游戏","Approved"
"UI","ui.main_menu.quit_confirm.body","Quit to desktop?","ゲームを終了してデスクトップに戻りますか？","要退出游戏并返回桌面吗？","Approved"
"UI","ui.main_menu.quit_confirm.warning","Unsaved progress may be lost.","保存されていない進行状況は失われる場合があります。","未保存的进度可能会丢失。","Approved"
"UI","ui.main_menu.quit_confirm.confirm","Quit","終了","退出","Approved"
"UI","ui.main_menu.slot.error.unsupported.title","Unsupported Save","非対応のセーブデータ","存档版本不受支持","Approved"
"UI","ui.main_menu.slot.error.unsupported.detail","This save was created by an unsupported version.","このセーブデータは非対応のバージョンで作成されています。","此存档由不受支持的游戏版本创建。","Approved"
"UI","ui.main_menu.slot.error.corrupt.title","Save Data Damaged","セーブデータ破損","存档数据损坏","Approved"
"UI","ui.main_menu.slot.error.corrupt.detail","This save data could not be read.","セーブデータを読み込めませんでした。","无法读取此存档数据。","Approved"
"UI","ui.main_menu.slot.error.permission.title","Save Access Failed","セーブデータへのアクセス失敗","存档访问失败","Approved"
"UI","ui.main_menu.slot.error.permission.detail","The save data could not be accessed. Check file permissions.","セーブデータにアクセスできませんでした。ファイルのアクセス権を確認してください。","无法访问存档数据。请检查文件权限。","Approved"
"UI","ui.main_menu.slot.error.load_failed.title","Save Load Failed","セーブデータの読み込み失敗","存档加载失败","Approved"
"UI","ui.main_menu.slot.error.load_failed.detail","The save data could not be loaded.","セーブデータを読み込めませんでした。","无法加载存档数据。","Approved"
"UI","ui.main_menu.slot.error.needs_repair.title","Save Data Unavailable","セーブデータ使用不可","存档数据不可用","Approved"
"UI","ui.main_menu.slot.error.needs_repair.detail","This save cannot be used in its current state.","現在の状態ではこのセーブデータを使用できません。","此存档当前无法使用。","Approved"
"UI","ui.settings.input.action_conflict","This key is already used by {0}.","このキーはすでに「{0}」に割り当てられています。","此按键已分配给“{0}”。","Approved"
"UI","ui.settings.input.unsupported_key","This key cannot be used.","このキーは使用できません。","此按键无法使用。","Approved"
"UI","ui.result.stage_clear.title","Stage Clear","ステージクリア","关卡完成","Approved"
"UI","ui.transition.chance_lost.remaining_chances","Remaining Chances","残機","剩余次数","Approved"
"UI","ui.transition.loading","Loading...","ロード中…","加载中……","Approved"
"UI","ui.settings.display.fullscreen_off","Off","オフ","关闭","Approved"
"UI","ui.main_menu.save_recovery.retry","Retry","再試行","重试","Approved"
"UI","ui.main_menu.save_recovery.reset","Delete All Save Data","すべてのセーブデータを削除","删除全部存档数据","Approved"
"UI","ui.main_menu.save_recovery.confirm.title","Delete All Save Data","すべてのセーブデータを削除","删除全部存档数据","Approved"
"UI","ui.main_menu.save_recovery.confirm.body","Delete the incompatible save data and every save slot, then start over?","互換性のないセーブデータと全セーブスロットを削除して、最初からやり直しますか？","要删除不兼容的存档数据和所有存档位，然后重新开始吗？","Approved"
"UI","ui.main_menu.save_recovery.confirm.warning","All progress will be deleted.","すべての進行状況が削除されます。","所有进度都将被删除。","Approved"
"UI","ui.main_menu.save_recovery.confirm.confirm","Delete All","すべて削除","全部删除","Approved"
"UI","ui.main_menu.slot.error.recovery_pending.title","Save Reset Incomplete","セーブデータのリセット未完了","存档重置未完成","Approved"
"UI","ui.main_menu.slot.error.recovery_pending.detail","The save reset did not finish. Retry to continue.","セーブデータのリセットが完了しませんでした。続行するには再試行してください。","存档重置未完成。请重试以继续重置。","Approved"
"Stage","stage.stage-0-1.display_name","Lab-01","ラボ-01","实验室-01","Approved"
"Stage","stage.stage-0-2.display_name","Lab-02","ラボ-02","实验室-02","Approved"
"Stage","stage.stage-0-3.display_name","Lab-03","ラボ-03","实验室-03","Approved"
"Stage","stage.stage-1-1.display_name","Lobby-01","ロビー-01","大厅-01","Approved"
"Stage","stage.stage-1-2.display_name","Lobby-02","ロビー-02","大厅-02","Approved"
"Stage","stage.stage-2-1.display_name","Ward[A]-01","病棟[A]-01","病区[A]-01","Approved"
"Stage","stage.stage-2-2.display_name","Ward[A]-02","病棟[A]-02","病区[A]-02","Approved"
"Stage","stage.stage-3-1.display_name","Ward[B]-01","病棟[B]-01","病区[B]-01","Approved"
"Stage","stage.stage-3-2.display_name","Ward[B]-02","病棟[B]-02","病区[B]-02","Approved"
"Stage","stage.stage-3-3.display_name","Ward[B]-03","病棟[B]-03","病区[B]-03","Approved"
"Stage","stage.stage-4-1.display_name","Morgue-01","霊安室-01","停尸间-01","Approved"
"Stage","stage.stage-4-2.display_name","Morgue-02","霊安室-02","停尸间-02","Approved"
"Stage","stage.stage-4-3.display_name","Morgue-03","霊安室-03","停尸间-03","Approved"
"Stage","stage.legacy-stage-5-1.display_name","Legacy 5-1","旧ステージ 5-1","旧版 5-1","Approved"
